Date,Average Daily Temperature (F)
1/1/2020,33.5
1/2/2020,32.5
1/3/2020,32
1/4/2020,29.5
1/5/2020,31
1/6/2020,32.5
1/7/2020,35.5
1/8/2020,45.5
1/9/2020,37.5
1/10/2020,32
1/11/2020,26
1/12/2020,29
1/13/2020,31
1/14/2020,29.5
1/15/2020,28
1/16/2020,27
1/17/2020,26.5
1/18/2020,27
1/19/2020,17.5
1/20/2020,5.5
1/21/2020,19.5
1/22/2020,30.5
1/23/2020,31
1/24/2020,28
1/25/2020,18
1/26/2020,12
1/27/2020,22.5
1/28/2020,36
1/29/2020,42.5
1/30/2020,35.5
1/31/2020,34.5
2/1/2020,29
2/2/2020,23.5
2/3/2020,21
2/4/2020,26
2/5/2020,43
2/6/2020,38
2/7/2020,38
2/8/2020,37
2/9/2020,39.5
2/10/2020,30.5
2/11/2020,37.5
2/12/2020,52
2/13/2020,46
2/14/2020,36.5
2/15/2020,40
2/16/2020,45.5
2/17/2020,42
2/18/2020,34.5
2/19/2020,35
2/20/2020,35.5
2/21/2020,40
2/22/2020,38.5
2/23/2020,43.5
2/24/2020,36.5
2/25/2020,28
2/26/2020,32.5
2/27/2020,36.5
2/28/2020,38.5
2/29/2020,45
3/1/2020,42.5
3/2/2020,38.5
3/3/2020,47
3/4/2020,46.5
3/5/2020,42.5
3/6/2020,37.5
3/7/2020,40.5
3/8/2020,41
3/9/2020,48.5
3/10/2020,41.5
3/11/2020,39
3/12/2020,43.5
3/13/2020,61
3/14/2020,54
3/15/2020,41.5
3/16/2020,40.5
3/17/2020,46.5
3/18/2020,45.5
3/19/2020,38.5
3/20/2020,34
3/21/2020,32
3/22/2020,36.5
3/23/2020,40
3/24/2020,48
3/25/2020,47
3/26/2020,51
3/27/2020,41
3/28/2020,41
3/29/2020,41.5
3/30/2020,42
3/31/2020,44.5
4/1/2020,50
4/2/2020,50
4/3/2020,47.5
4/4/2020,47.5
4/5/2020,45.5
4/6/2020,48.5
4/7/2020,64.5
4/8/2020,58
4/9/2020,41
4/10/2020,42.5
4/11/2020,48.5
4/12/2020,48.5
4/13/2020,36.5
4/14/2020,45.5
4/15/2020,46
4/16/2020,42.5
4/17/2020,45
4/18/2020,48
4/19/2020,59.5
4/20/2020,62
4/21/2020,49.5
4/22/2020,51.5
4/23/2020,49
4/24/2020,50.5
