Date,Daily Average Temperature (F),Daily Maximum Temperature (F),Daily Minimum Temperature (F),Date
"36,526.00",37.5,43,32,
"36,527.00",45,56,34,
"36,528.00",33,36,30,
"36,529.00",24.5,30,19,
"36,530.00",16,25,7,
"36,531.00",29,35,23,
"36,532.00",21.5,28,15,
"36,533.00",32,41,23,
"36,534.00",36,39,33,
"36,535.00",39,42,36,
"36,536.00",30,36,24,
"36,537.00",26.5,32,21,
"36,538.00",22,31,13,
"36,539.00",19,26,12,
"36,540.00",30.5,37,24,
"36,541.00",28.5,38,19,
"36,542.00",23.5,26,21,
"36,543.00",27.5,35,20,
"36,544.00",20.5,25,16,
"36,545.00",10,18,2,
"36,546.00",3.5,10,-3,
"36,547.00",16,24,8,
"36,548.00",12,21,3,
"36,549.00",6.5,16,-3,
"36,550.00",15.5,21,10,
"36,551.00",15,21,9,
"36,552.00",19.5,27,12,
"36,553.00",19.5,30,9,
"36,554.00",23.5,30,17,
"36,555.00",27,30,24,
"36,556.00",22.5,27,18,
"36,557.00",25,30,20,
"36,558.00",21,29,13,
"36,559.00",30,34,26,
"36,560.00",24,29,19,
"36,561.00",25.5,34,17,
"36,562.00",23,31,15,
"36,563.00",23.5,32,15,
"36,564.00",20.5,33,8,
"36,565.00",37,42,32,
"36,566.00",30,35,25,
"36,567.00",19.5,25,14,
"36,568.00",21,31,11,
"36,569.00",29,31,27,
"36,570.00",24.5,30,19,
"36,571.00",29.5,40,19,
"36,572.00",29,38,20,
"36,573.00",24,33,15,
"36,574.00",30,32,28,
"36,575.00",27.5,32,23,
"36,576.00",27.5,35,20,
"36,577.00",33,46,20,
"36,578.00",45.5,53,38,
"36,579.00",50,61,39,
"36,580.00",44.5,51,38,
"36,581.00",49.5,59,40,
"36,582.00",55.5,64,47,
"36,583.00",44.5,51,38,
"36,584.00",39.5,49,30,
"36,585.00",50,61,39,
"36,586.00",41,49,33,
"36,587.00",31.5,37,26,
"36,588.00",33.5,45,22,
"36,589.00",45,59,31,
"36,590.00",42,52,32,
"36,591.00",46.5,63,30,
"36,592.00",64,77,51,
"36,593.00",66,77,55,
"36,594.00",43,61,25,
"36,595.00",27.5,32,23,
"36,596.00",28.5,34,23,
"36,597.00",32,43,21,
"36,598.00",39,44,34,
"36,599.00",42,54,30,
"36,600.00",43.5,55,32,
"36,601.00",30,35,25,
"36,602.00",28,33,23,
"36,603.00",32,36,28,
"36,604.00",36,38,34,
"36,605.00",41,45,37,
"36,606.00",46.5,53,40,
"36,607.00",49.5,58,41,
"36,608.00",46.5,59,34,
"36,609.00",53.5,62,45,
"36,610.00",52.5,59,46,
"36,611.00",50,63,37,
"36,612.00",46.5,55,38,
"36,613.00",39.5,46,33,
"36,614.00",38,45,31,
"36,615.00",36,44,28,
"36,616.00",47.5,62,33,
"36,617.00",49,53,45,
"36,618.00",48,56,40,
"36,619.00",48.5,59,38,
"36,620.00",37.5,44,31,
"36,621.00",41.5,61,22,
"36,622.00",51,60,42,
"36,623.00",38,49,27,
"36,624.00",33,41,25,
"36,625.00",43,53,33,
"36,626.00",33.5,36,31,
"36,627.00",34.5,37,32,
"36,628.00",38,46,30,
"36,629.00",45,54,36,
"36,630.00",59,75,43,
"36,631.00",48.5,60,37,
"36,632.00",39,41,37,
"36,633.00",37.5,39,36,
"36,634.00",44,49,39,
"36,635.00",43,46,40,
"36,636.00",43.5,48,39,
"36,637.00",43,49,37,
"36,638.00",45.5,58,33,
"36,639.00",47,52,42,
"36,640.00",46.5,54,39,
"36,641.00",45,54,36,
"36,642.00",50,63,37,
"36,643.00",53,64,42,
"36,644.00",53,66,40,
"36,645.00",43,47,39,
"36,646.00",48,59,37,
"36,647.00",55.5,66,45,
"36,648.00",50.5,59,42,
"36,649.00",57,69,45,
"36,650.00",71,82,60,
"36,651.00",72.5,84,61,
"36,652.00",73.5,83,64,
"36,653.00",71,77,65,
"36,654.00",75,85,65,
"36,655.00",56.5,65,48,
"36,656.00",53.5,64,43,
"36,657.00",61,70,52,
"36,658.00",63.5,72,55,
"36,659.00",50.5,58,43,
"36,660.00",50.5,60,41,
