Date,Daily Average Temperature (F),Daily Maximum Temperature (F),Daily Minimum Temperature (F)
1/1/00,37.5,43,32
1/2/00,45,56,34
1/3/00,33,36,30
1/4/00,24.5,30,19
1/5/00,16,25,7
1/6/00,29,35,23
1/7/00,21.5,28,15
1/8/00,32,41,23
1/9/00,36,39,33
1/10/00,39,42,36
1/11/00,30,36,24
1/12/00,26.5,32,21
1/13/00,22,31,13
1/14/00,19,26,12
1/15/00,30.5,37,24
1/16/00,28.5,38,19
1/17/00,23.5,26,21
1/18/00,27.5,35,20
1/19/00,20.5,25,16
1/20/00,10,18,2
1/21/00,3.5,10,-3
1/22/00,16,24,8
1/23/00,12,21,3
1/24/00,6.5,16,-3
1/25/00,15.5,21,10
1/26/00,15,21,9
1/27/00,19.5,27,12
1/28/00,19.5,30,9
1/29/00,23.5,30,17
1/30/00,27,30,24
1/31/00,22.5,27,18
2/1/00,25,30,20
2/2/00,21,29,13
2/3/00,30,34,26
2/4/00,24,29,19
2/5/00,25.5,34,17
2/6/00,23,31,15
2/7/00,23.5,32,15
2/8/00,20.5,33,8
2/9/00,37,42,32
2/10/00,30,35,25
2/11/00,19.5,25,14
2/12/00,21,31,11
2/13/00,29,31,27
2/14/00,24.5,30,19
2/15/00,29.5,40,19
2/16/00,29,38,20
2/17/00,24,33,15
2/18/00,30,32,28
2/19/00,27.5,32,23
2/20/00,27.5,35,20
2/21/00,33,46,20
2/22/00,45.5,53,38
2/23/00,50,61,39
2/24/00,44.5,51,38
2/25/00,49.5,59,40
2/26/00,55.5,64,47
2/27/00,44.5,51,38
2/28/00,39.5,49,30
2/29/00,50,61,39
3/1/00,41,49,33
3/2/00,31.5,37,26
3/3/00,33.5,45,22
3/4/00,45,59,31
3/5/00,42,52,32
3/6/00,46.5,63,30
3/7/00,64,77,51
3/8/00,66,77,55
3/9/00,43,61,25
3/10/00,27.5,32,23
3/11/00,28.5,34,23
3/12/00,32,43,21
3/13/00,39,44,34
3/14/00,42,54,30
3/15/00,43.5,55,32
3/16/00,30,35,25
3/17/00,28,33,23
3/18/00,32,36,28
3/19/00,36,38,34
3/20/00,41,45,37
3/21/00,46.5,53,40
3/22/00,49.5,58,41
3/23/00,46.5,59,34
3/24/00,53.5,62,45
3/25/00,52.5,59,46
3/26/00,50,63,37
3/27/00,46.5,55,38
3/28/00,39.5,46,33
3/29/00,38,45,31
3/30/00,36,44,28
3/31/00,47.5,62,33
4/1/00,49,53,45
4/2/00,48,56,40
4/3/00,48.5,59,38
4/4/00,37.5,44,31
4/5/00,41.5,61,22
4/6/00,51,60,42
4/7/00,38,49,27
4/8/00,33,41,25
4/9/00,43,53,33
4/10/00,33.5,36,31
4/11/00,34.5,37,32
4/12/00,38,46,30
4/13/00,45,54,36
4/14/00,59,75,43
4/15/00,48.5,60,37
4/16/00,39,41,37
4/17/00,37.5,39,36
4/18/00,44,49,39
4/19/00,43,46,40
4/20/00,43.5,48,39
4/21/00,43,49,37
4/22/00,45.5,58,33
4/23/00,47,52,42
4/24/00,46.5,54,39
4/25/00,45,54,36
4/26/00,50,63,37
4/27/00,53,64,42
4/28/00,53,66,40
4/29/00,43,47,39
4/30/00,48,59,37
5/1/00,55.5,66,45
5/2/00,50.5,59,42
5/3/00,57,69,45
5/4/00,71,82,60
5/5/00,72.5,84,61
5/6/00,73.5,83,64
5/7/00,71,77,65
5/8/00,75,85,65
5/9/00,56.5,65,48
5/10/00,53.5,64,43
5/11/00,61,70,52
5/12/00,63.5,72,55
5/13/00,50.5,58,43
5/14/00,50.5,60,41
5/15/00,55.5,68,43
5/16/00,52.5,60,45
5/17/00,49.5,55,44
5/18/00,47.5,54,41
5/19/00,43.5,46,41
5/20/00,48,56,40
5/21/00,52.5,65,40
5/22/00,64.5,77,52
5/23/00,68.5,80,57
5/24/00,66,79,53
5/25/00,62.5,73,52
5/26/00,53.5,59,48
